Time [s],Voltage [V],Current [A],X-avg Temperature [K]
0.0,3.771713391297062,0.680616,298.15
36.36363636363637,3.755165868278799,0.680616,298.15
72.72727272727273,3.7481290467086934,0.680616,298.15
109.0909090909091,3.742959105989428,0.680616,298.15
145.45454545454547,3.7384129727201882,0.680616,298.15
181.81818181818184,3.734140841367746,0.680616,298.15
218.1818181818182,3.730031931619515,0.680616,298.15
254.54545454545456,3.726048123938632,0.680616,298.15
290.90909090909093,3.722176335430105,0.680616,298.15
327.2727272727273,3.718412004029153,0.680616,298.15
363.6363636363637,3.714754313580926,0.680616,298.15
400.00000000000006,3.711202686768904,0.680616,298.15
436.3636363636364,3.707755631975016,0.680616,298.15
472.72727272727275,3.704408973755061,0.680616,298.15
509.0909090909091,3.701159964919807,0.680616,298.15
545.4545454545455,3.6979955882738604,0.680616,298.15
581.8181818181819,3.6949106316642863,0.680616,298.15
618.1818181818182,3.691896334572706,0.680616,298.15
654.5454545454546,3.688949140142112,0.680616,298.15
690.909090909091,3.686068836815922,0.680616,298.15
727.2727272727274,3.6832564487510315,0.680616,298.15
763.6363636363637,3.6805130318845647,0.680616,298.15
800.0000000000001,3.677839057944967,0.680616,298.15
836.3636363636365,3.6752342098645876,0.680616,298.15
872.7272727272727,3.6726977473196123,0.680616,298.15
909.0909090909091,3.670228007302684,0.680616,298.15
945.4545454545455,3.667823636857977,0.680616,298.15
981.8181818181819,3.665481394695556,0.680616,298.15
1018.1818181818182,3.6631991903936902,0.680616,298.15
1054.5454545454547,3.660973463819108,0.680616,298.15
1090.909090909091,3.6588011313960394,0.680616,298.15
1127.2727272727275,3.65667759475397,0.680616,298.15
1163.6363636363637,3.65459903722478,0.680616,298.15
1200.0,3.652560308571526,0.680616,298.15
1236.3636363636365,3.6505553525112977,0.680616,298.15
1272.7272727272727,3.6485777468046012,0.680616,298.15
1309.0909090909092,3.646619305196738,0.680616,298.15
1345.4545454545455,3.6446693189629897,0.680616,298.15
1381.818181818182,3.642713442039348,0.680616,298.15
1418.1818181818182,3.6407331002071857,0.680616,298.15
1454.5454545454547,3.6386971381020965,0.680616,298.15
1490.909090909091,3.6365600036929537,0.680616,298.15
1527.2727272727275,3.634252694251775,0.680616,298.15
1563.6363636363637,3.6316943107349573,0.680616,298.15
1600.0000000000002,3.628847607574929,0.680616,298.15
1636.3636363636365,3.625782071088863,0.680616,298.15
1672.727272727273,3.622651332009089,0.680616,298.15
1709.0909090909092,3.6196243880195174,0.680616,298.15
1745.4545454545455,3.616828343820944,0.680616,298.15
1781.818181818182,3.614325607363887,0.680616,298.15
1818.1818181818182,3.612119036278208,0.680616,298.15
1854.5454545454547,3.6101742746561607,0.680616,298.15
1890.909090909091,3.6084431076893813,0.680616,298.15
1927.2727272727275,3.606880594351729,0.680616,298.15
1963.6363636363637,3.605450339525133,0.680616,298.15
2000.0000000000002,3.604125853516862,0.680616,298.15
2036.3636363636365,3.602889687012542,0.680616,298.15
2072.727272727273,3.601728955876529,0.680616,298.15
2109.0909090909095,3.60063624398483,0.680616,298.15
2145.4545454545455,3.599605586289462,0.680616,298.15
2181.818181818182,3.5986322314228447,0.680616,298.15
2218.1818181818185,3.597707679743668,0.680616,298.15
2254.545454545455,3.5968157967350898,0.680616,298.15
2290.909090909091,3.595934348192651,0.680616,298.15
2327.2727272727275,3.595041205939049,0.680616,298.15
2363.636363636364,3.5941227857379543,0.680616,298.15
2400.0,3.593173239023823,0.680616,298.15
2436.3636363636365,3.5921910076843346,0.680616,298.15
2472.727272727273,3.5911763529065324,0.680616,298.15
2509.0909090909095,3.590129740856275,0.680616,298.15
2545.4545454545455,3.589051246148599,0.680616,298.15
2581.818181818182,3.5879401886125866,0.680616,298.15
2618.1818181818185,3.586795362292892,0.680616,298.15
2654.545454545455,3.585614008994302,0.680616,298.15
2690.909090909091,3.5843924828854252,0.680616,298.15
2727.2727272727275,3.5831248824128803,0.680616,298.15
2763.636363636364,3.581803063669734,0.680616,298.15
2800.0000000000005,3.580415913390648,0.680616,298.15
2836.3636363636365,3.578947889435822,0.680616,298.15
2872.727272727273,3.577378601512856,0.680616,298.15
2909.0909090909095,3.5756816582020443,0.680616,298.15
2945.4545454545455,3.5738240552870044,0.680616,298.15
2981.818181818182,3.5717643515772446,0.680616,298.15
3018.1818181818185,3.569451898090442,0.680616,298.15
3054.545454545455,3.5668214306402697,0.680616,298.15
3090.909090909091,3.563787670023199,0.680616,298.15
3127.2727272727275,3.560237531588567,0.680616,298.15
3163.636363636364,3.556029474932391,0.680616,298.15
3200.0000000000005,3.5510004910439408,0.680616,298.15
3236.3636363636365,3.544958941213723,0.680616,298.15
3272.727272727273,3.537642682970184,0.680616,298.15
3309.0909090909095,3.5286394701298542,0.680616,298.15
3345.454545454546,3.517256360961926,0.680616,298.15
3381.818181818182,3.50232006146524,0.680616,298.15
3418.1818181818185,3.4819411871112607,0.680616,298.15
3454.545454545455,3.453393523036132,0.680616,298.15
3490.909090909091,3.4131720359902964,0.680616,298.15
3527.2727272727275,3.356891384346481,0.680616,298.15
3563.636363636364,3.2788357955639746,0.680616,298.15
3600.0,3.171594046401032,0.680616,298.15
