Time [s],Terminal voltage [V],Current [A],Discharge capacity [A.h]
0.0,4.106575142034526,2.0,0.0
36.36363636363637,4.066376719478859,2.0,0.020202020202020207
72.72727272727273,4.050800470258347,2.0,0.040404040404040414
109.0909090909091,4.041426520945183,2.0,0.060606060606060615
145.45454545454547,4.035091429347158,2.0,0.08080808080808086
181.81818181818184,4.0306306231486895,2.0,0.10101010101010108
218.1818181818182,4.027454452544827,2.0,0.12121212121212127
254.54545454545456,4.02519231734917,2.0,0.14141414141414146
290.90909090909093,4.02357363585708,2.0,0.16161616161616174
327.2727272727273,4.022387283578675,2.0,0.18181818181818196
363.6363636363637,4.021465664693137,2.0,0.20202020202020224
400.00000000000006,4.020681628267065,2.0,0.2222222222222225
436.3636363636364,4.01994284571704,2.0,0.2424242424242427
472.72727272727275,4.019181137792317,2.0,0.262626262626263
509.0909090909091,4.018340996001241,2.0,0.2828282828282832
545.4545454545455,4.017375603804873,2.0,0.3030303030303034
581.8181818181819,4.016247123287149,2.0,0.3232323232323237
618.1818181818182,4.014923188707721,2.0,0.34343434343434387
654.5454545454546,4.013378221530946,2.0,0.3636363636363641
690.909090909091,4.011599357479343,2.0,0.3838383838383843
727.2727272727274,4.009580655383868,2.0,0.40404040404040453
763.6363636363637,4.007323065397596,2.0,0.42424242424242475
800.0000000000001,4.004834290982027,2.0,0.444444444444445
836.3636363636365,4.002119898905962,2.0,0.4646464646464652
872.7272727272727,3.9992002952921615,2.0,0.4848484848484853
909.0909090909091,3.9960893457086986,2.0,0.5050505050505055
945.4545454545455,3.992805591267957,2.0,0.5252525252525257
981.8181818181819,3.9893661464957475,2.0,0.545454545454546
1018.1818181818182,3.985791604860837,2.0,0.5656565656565662
1054.5454545454547,3.9821000858053663,2.0,0.5858585858585864
1090.909090909091,3.978310114729908,2.0,0.6060606060606065
1127.2727272727275,3.9744395068565304,2.0,0.6262626262626269
1163.6363636363637,3.9705060278784314,2.0,0.646464646464647
1200.0,3.9665248404872857,2.0,0.6666666666666672
1236.3636363636365,3.9625107773903805,2.0,0.6868686868686875
1272.7272727272727,3.9584759149401365,2.0,0.7070707070707076
1309.0909090909092,3.954432941761117,2.0,0.727272727272728
1345.4545454545455,3.950393445342799,2.0,0.7474747474747482
1381.818181818182,3.9463666961145583,2.0,0.7676767676767685
1418.1818181818182,3.9423611566994747,2.0,0.7878787878787887
1454.5454545454547,3.9383835274976384,2.0,0.8080808080808091
1490.909090909091,3.934439938776424,2.0,0.8282828282828292
1527.2727272727275,3.9305358377432973,2.0,0.8484848484848495
1563.6363636363637,3.9266755696779496,2.0,0.8686868686868696
1600.0000000000002,3.922861938924303,2.0,0.88888888888889
1636.3636363636365,3.9190976901820536,2.0,0.9090909090909102
1672.727272727273,3.915383952823355,2.0,0.9292929292929304
1709.0909090909092,3.9117216861965054,2.0,0.9494949494949505
1745.4545454545455,3.908111118999966,2.0,0.9696969696969706
1781.818181818182,3.904552414626412,2.0,0.989898989898991
1818.1818181818182,3.9010428372805492,2.0,1.0101010101010113
1854.5454545454547,3.897582409673495,2.0,1.0303030303030316
1890.909090909091,3.894168599361172,2.0,1.0505050505050517
1927.2727272727275,3.8907986384898585,2.0,1.070707070707072
1963.6363636363637,3.8874693380449283,2.0,1.0909090909090922
2000.0000000000002,3.8841774642520637,2.0,1.1111111111111125
2036.3636363636365,3.8809182443012102,2.0,1.1313131313131326
